ID,PCA Request ID,NORMALIZED_NAME,Name,Description,type,Domains,Superclass,Intended UoM,Scalar Quantity,Provenance,Scope,Range,Regularity,Other
DRG000001,2,,Sour Service Specification,Sour Service specification,IMF-PROP,http://rds.posccaesar.org/ontology/lis14/rdl/Artefact,Classification Datum,,,,,,,Object
DRG000002,1,,Maximum external load,"Load limitation, normally expressed in ohms, as given by supplier / manufacturer",IMF-PROP,http://rds.posccaesar.org/ontology/lis14/rdl/Artefact,Datasheet Quantity Datum,Ohm,Resistance,,,Maximum,,
DRG000003,,,Minimum Operating Lower Fluid Density,Minimum Operating Lower Fluid Density,,,,,,,,,,Object
DRG000004,,,Maximum Operating Lower Fluid Density,Maximum Operating Lower Fluid Density,,,,,,,,,,Object
DRG000005,,,Minimum Operating Upper Fluid Density,Minimum Operating Upper Fluid Density,,,,,,,,,,Object
DRG000006,,,Reset type ,Automatic or Manual,,http://rds.posccaesar.org/ontology/lis14/rdl/Artefact,Datasheet Quantity Datum,,,,,,,
DRG000007,,,Maximum Operating Upper Fluid Density,Maximum Operating Upper Fluid Density,,,,,,,,,,
DRG000008,,,Mimimum Operating Vapour Density,Mimimum Operating Vapour Density,,,,,,,,,,
DRG000009,,,Maximum Operating Vapour Density,Maximum Operating Vapour Density,,,,,,,,,,
DRG000010,,,Normal Operating Vapour Density,Normal Ooperating Vapour Density,,,,,,,,,,
DRG000011,,,Minimum Operating Vapour Viscosity,Minimum Operating Vapour Viscosity,,,,,,,,,,
DRG000012,,NPSH3_AT_RATED_FLOW,NPSH3 AT RATED FLOW,Is the net positive suction head available to a pump under test at rated flow when the pump head is decreased by 3 percent as a result of cavitation caused by a decreasing available suction head.,,,,,,,,,,
DRG000013,,PUMP_THRUST_MIN_FLOW,PUMP THRUST AT MINIMUM FLOW,Is the summation of unbalanced impeller forces acting in the axial direction at rated flow.,,,,,,,,,,
DRG000014,,PUMP_THRUST_RUNOUT_DOWN,PUMP THRUST AT CURVE RUN-OUT - DOWN,Is the summation of unbalanced impeller forces acting in the axial direction at the conditions of runout from lower end of the pump's curve.,,,,,,,,,,
DRG000015,,PUMP_THRUST_RUNOUT_UP,PUMP THRUST AT CURVE RUN-OUT - UP,Is the summation of unbalanced impeller forces acting in the axial direction at the conditions of runout from higher end of the pump's curve.,,,,,,,,,,
DRG000018,,SEAL_SECONDARY_PLAN,SEAL SECONDARY PLAN,Is an AUXILIARY FLSUH SYSTEM that is an assembly of functional units necessary for running a pump unit,,,https://staging3.data.posccaesar.org/rdl/RDS14308963,,,,,,,
DRG000019,,AUXILIARY_TO_CASING_CONNECTION_CONFIG,AUXILIARY TO CASING CONNECTION CONFIGURATION,The configuration of a connection point between an auxiliary system and the pump's casing,,,,,,,,,,
DRG000020,,EXTERNAL_SEAL_FLUSH_FLUID,EXTERNAL SEAL FLUSH FLUID,"A fluid that is external to the process, and is used for seal flush purposes.",,,,,,,,,,
DRG000021,,PIPING_PLAN_CONSTRUCTION,PIPING PLAN CONSTRUCTION,A piping plan construction can either be tubing or piping.,,,,,,,,,,
DRG000022,,WELD_CASTINGS,WELDED CASTINGS,Cast segments or parts that are joined to other parts by welding,,,,,,,,,,
DRG000023,,WELD_SKID,WELDED SKID,A welded skid,,,,,,,,,,
DRG000024,,WELD_PIPES,WELDED PIPES,Pipes that are joined by welding,,,,,,,,,,
DRG000025,,PROVIDED_BY,PROVIDED/SUPPLIED BY,The party responsible for providing or supplying a specific item,,,,,,,,,,
DRG000026,,MOUNTED_BY,MOUNTED/INSTALLED BY,The party responsible for mounting or installing a specific item,,,,,,,,,,
DRG000027,,DIAMETER_MIN,LOWER LIMIT DIAMETER,Is a diameter which is the smallest acceptable or expected,,,,,,,,,,
DRG000028,,DIAMETER_RATED,RATED DIAMETER,Is a diameter which is used for the normal operating conditions.,,,,,,,,,,
DRG000029,,THRUST_AT_DESIGN_FLOW,THRUST AT DESIGN FLOW,Thrust force at the condition of design flow,,,,,,,,,,
DRG000030,,THRUST_AT_MIN_FLOW,THRUST AT MIN FLOW,Thrust force at the condition of minimum flow,,,,,,,,,,
DRG000031,,THRUST_AT_RUNOUT_DOWN,DOWN THRUST AT PUMP'S CURVE RUNOUT,Down thrust force at runout conditions (too high flow - too low pressure),,,,,,,,,,
DRG000032,,THRUST_AT_RUNOUT_UP,UP THRUST AT PUMP'S CURVE RUNOUT,Up thrust force at runout conditions (too high flow - too low pressure),,,,,,,,,,
DRG000034,,TYPE,TYPE,It generally represents type specification,,,,,,,,,,
DRG000036,,GLAND_PLATE_TAPS,GLAND PLATE TAPS,A statement that shows which gland plate taps are required (Quench\Flush\Drain\Vent).,,,,,,,,,,
